"School Year","Division Number","Division Name","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2016-2017","1","Accomack County","5,262"," ","5,262"
"2016-2017","2","Albemarle County","13,790","28","13,818"
"2016-2017","101","Alexandria City","15,301","117","15,418"
"2016-2017","3","Alleghany County","2,244"," ","2,244"
"2016-2017","4","Amelia County","1,808"," ","1,808"
"2016-2017","5","Amherst County","4,139"," ","4,139"
"2016-2017","6","Appomattox County","2,304"," ","2,304"
"2016-2017","7","Arlington County","26,176"," ","26,176"
"2016-2017","8","Augusta County","10,384","2","10,386"
"2016-2017","9","Bath County","562"," ","562"
"2016-2017","10","Bedford County","9,702","5","9,707"
"2016-2017","11","Bland County","771"," ","771"
"2016-2017","12","Botetourt County","4,654"," ","4,654"
"2016-2017","102","Bristol City","2,299"," ","2,299"
"2016-2017","13","Brunswick County","1,720"," ","1,720"
"2016-2017","14","Buchanan County","2,922"," ","2,922"
"2016-2017","15","Buckingham County","2,054"," ","2,054"
"2016-2017","103","Buena Vista City","959"," ","959"
"2016-2017","16","Campbell County","8,020"," ","8,020"
"2016-2017","17","Caroline County","4,299"," ","4,299"
"2016-2017","18","Carroll County","3,836"," ","3,836"
"2016-2017","19","Charles City County","679"," ","679"
"2016-2017","20","Charlotte County","1,924"," ","1,924"
"2016-2017","104","Charlottesville City","4,471","7","4,478"
"2016-2017","136","Chesapeake City","40,192"," ","40,192"
"2016-2017","21","Chesterfield County","60,060","43","60,103"
"2016-2017","22","Clarke County","1,995","2","1,997"
"2016-2017","202","Colonial Beach","597"," ","597"
"2016-2017","106","Colonial Heights City","2,837"," ","2,837"
"2016-2017","107","Covington City","1,064"," ","1,064"
"2016-2017","23","Craig County","615"," ","615"
"2016-2017","24","Culpeper County","8,202","2","8,204"
"2016-2017","25","Cumberland County","1,364"," ","1,364"
"2016-2017","108","Danville City","5,956"," ","5,956"
"2016-2017","26","Dickenson County","2,189"," ","2,189"
"2016-2017","27","Dinwiddie County","4,394"," ","4,394"
"2016-2017","28","Essex County","1,406"," ","1,406"
"2016-2017","29","Fairfax County","187,467","31","187,498"
"2016-2017","109","Falls Church City","2,670","2","2,672"
"2016-2017","30","Fauquier County","11,065","8","11,073"
"2016-2017","31","Floyd County","2,042"," ","2,042"
"2016-2017","32","Fluvanna County","3,588","1","3,589"
"2016-2017","135","Franklin City","1,128"," ","1,128"
"2016-2017","33","Franklin County","7,352"," ","7,352"
"2016-2017","34","Frederick County","13,338"," ","13,338"
"2016-2017","110","Fredericksburg City","3,577"," ","3,577"
"2016-2017","111","Galax City","1,332"," ","1,332"
"2016-2017","35","Giles County","2,401"," ","2,401"
"2016-2017","36","Gloucester County","5,500"," ","5,500"
"2016-2017","37","Goochland County","2,594"," ","2,594"
"2016-2017","38","Grayson County","1,644"," ","1,644"
"2016-2017","39","Greene County","3,177"," ","3,177"
"2016-2017","40","Greensville County","2,547"," ","2,547"
"2016-2017","41","Halifax County","5,187","3","5,190"
"2016-2017","112","Hampton City","20,286","1","20,287"
"2016-2017","42","Hanover County","18,039"," ","18,039"
"2016-2017","113","Harrisonburg City","6,187","1","6,188"
"2016-2017","43","Henrico County","51,425"," ","51,425"
"2016-2017","44","Henry County","7,508"," ","7,508"
"2016-2017","45","Highland County","218"," ","218"
"2016-2017","114","Hopewell City","4,292"," ","4,292"
"2016-2017","46","Isle of Wight County","5,451"," ","5,451"
"2016-2017","48","King George County","4,346","19","4,365"
"2016-2017","50","King William County","2,199"," ","2,199"
"2016-2017","49","King and Queen County","852"," ","852"
"2016-2017","51","Lancaster County","1,221"," ","1,221"
"2016-2017","52","Lee County","3,262"," ","3,262"
"2016-2017","137","Lexington City","510"," ","510"
"2016-2017","53","Loudoun County","78,348","331","78,679"
"2016-2017","54","Louisa County","4,864"," ","4,864"
"2016-2017","55","Lunenburg County","1,563"," ","1,563"
"2016-2017","115","Lynchburg City","8,477"," ","8,477"
"2016-2017","56","Madison County","1,741","30","1,771"
"2016-2017","143","Manassas City","7,713"," ","7,713"
"2016-2017","144","Manassas Park City","3,588"," ","3,588"
"2016-2017","116","Martinsville City","2,041","1","2,042"
"2016-2017","57","Mathews County","1,091"," ","1,091"
"2016-2017","58","Mecklenburg County","4,424"," ","4,424"
"2016-2017","59","Middlesex County","1,240"," ","1,240"
"2016-2017","60","Montgomery County","9,674","11","9,685"
"2016-2017","62","Nelson County","1,898"," ","1,898"
"2016-2017","63","New Kent County","3,156"," ","3,156"
"2016-2017","117","Newport News City","28,843","17","28,860"
"2016-2017","118","Norfolk City","31,425"," ","31,425"
"2016-2017","65","Northampton County","1,668"," ","1,668"
"2016-2017","66","Northumberland County","1,302","36","1,338"
"2016-2017","119","Norton City","789"," ","789"
"2016-2017","67","Nottoway County","2,165"," ","2,165"
