"School Year","Division Number","Division Name","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2016-2017","68","Orange County","5,109","2","5,111"
"2016-2017","69","Page County","3,438","5","3,443"
"2016-2017","70","Patrick County","2,752"," ","2,752"
"2016-2017","120","Petersburg City","4,275"," ","4,275"
"2016-2017","71","Pittsylvania County","9,182"," ","9,182"
"2016-2017","142","Poquoson City","2,058","19","2,077"
"2016-2017","121","Portsmouth City","14,611","3","14,614"
"2016-2017","72","Powhatan County","4,266","10","4,276"
"2016-2017","73","Prince Edward County","2,134"," ","2,134"
"2016-2017","74","Prince George County","6,446"," ","6,446"
"2016-2017","75","Prince William County","89,345","32","89,377"
"2016-2017","77","Pulaski County","4,270"," ","4,270"
"2016-2017","122","Radford City","1,659"," ","1,659"
"2016-2017","78","Rappahannock County","866"," ","866"
"2016-2017","123","Richmond City","24,868"," ","24,868"
"2016-2017","79","Richmond County","1,314"," ","1,314"
"2016-2017","124","Roanoke City","13,677"," ","13,677"
"2016-2017","80","Roanoke County","14,235"," ","14,235"
"2016-2017","81","Rockbridge County","2,844"," ","2,844"
"2016-2017","82","Rockingham County","11,852","15","11,867"
"2016-2017","83","Russell County","3,979"," ","3,979"
"2016-2017","139","Salem City","3,852"," ","3,852"
"2016-2017","84","Scott County","3,732"," ","3,732"
"2016-2017","85","Shenandoah County","6,007"," ","6,007"
"2016-2017","86","Smyth County","4,505"," ","4,505"
"2016-2017","87","Southampton County","2,750"," ","2,750"
"2016-2017","88","Spotsylvania County","23,597","20","23,617"
"2016-2017","89","Stafford County","28,386","293","28,679"
"2016-2017","126","Staunton City","2,679"," ","2,679"
"2016-2017","127","Suffolk City","14,284"," ","14,284"
"2016-2017","90","Surry County","826"," ","826"
"2016-2017","91","Sussex County","1,106"," ","1,106"
"2016-2017","92","Tazewell County","5,959","1","5,960"
"2016-2017","128","Virginia Beach City","69,085"," ","69,085"
"2016-2017","93","Warren County","5,385","4","5,389"
"2016-2017","94","Washington County","7,264","1","7,265"
"2016-2017","130","Waynesboro City","3,170"," ","3,170"
"2016-2017","207","West Point","806"," ","806"
"2016-2017","95","Westmoreland County","1,703"," ","1,703"
"2016-2017","131","Williamsburg-James City County","11,607","168","11,775"
"2016-2017","132","Winchester City","4,471"," ","4,471"
"2016-2017","96","Wise County","5,889"," ","5,889"
"2016-2017","97","Wythe County","4,220","1","4,221"
"2016-2017","98","York County","12,682","50","12,732"
